study_id,n_g1,median_g1,mean_g1,n_g2,median_g2,mean_g2
Adelaide_2000,42,15,NA,44,30,NA
Adelaide_2016,31,16,25.6,32,20,24.7
Akershus_1998,127,NA,NA,124,NA,NA
ATTEND_pilot_2015,50,NA,NA,54,NA,NA
Aveiro_2016,95,NA,NA,95,NA,NA
Bangkok_2002,50,NA,NA,52,NA,NA
Belfast_2004,59,31,NA,54,32,NA
Bergen_2014_Day,103,NA,8.7,49,NA,8.4
Bergen_2014_Home,104,NA,8.7,50,NA,8.4
Copenhagen_2009,31,18,NA,30,16,NA
London_1997,167,6,12,164,12,18
Manchester_2001,10,NA,NA,11,NA,NA
Montreal_2000,58,NA,9.8,56,NA,12.4
Newcastle_1997,44,NA,NA,42,NA,NA
Oslo_2000,42,22,NA,40,31,NA
Stockholm_1998,39,12,18,38,23,33
Trondheim_2000,160,NA,NA,160,NA,NA
Trondheim_2004,31,12.0,12.9,31,10.0,13.6
