I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,-1.045,6.222,-1.954,49.263,0.889,0.119,0.927,0.137
0%,QE-RE,-1.391,6.473,23.023,23.689,0.959,0.139,0.977,0.160
0%,QE-FE,-1.102,6.226,-1.330,0.105,0.947,0.126,0.972,0.145
25%,DiVE,1.322,9.735,-2.138,59.449,0.874,0.147,0.911,0.169
25%,QE-RE,1.243,9.402,4.352,20.948,0.937,0.155,0.964,0.179
25%,QE-FE,1.368,9.716,-36.390,13.508,0.886,0.126,0.933,0.145
50%,DiVE,-0.441,17.074,4.229,71.684,0.887,0.197,0.925,0.227
50%,QE-RE,-1.542,15.327,1.171,24.439,0.918,0.190,0.950,0.219
50%,QE-FE,-0.560,17.102,-62.517,39.292,0.778,0.126,0.830,0.145
75%,DiVE,-1.818,38.395,2.371,76.239,0.880,0.293,0.920,0.338
75%,QE-RE,-0.205,30.827,1.195,27.173,0.904,0.267,0.937,0.308
75%,QE-FE,-1.943,38.582,-83.301,69.470,0.563,0.126,0.643,0.145
