I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,4.440,0.800,8.133,14.803,0.914,3.755,0.922,3.919
0%,QE-RE,-7.963,1.196,4.937,4.889,0.797,3.735,0.817,3.898
0%,QE-FE,-9.263,1.439,-7.663,1.315,0.712,3.517,0.743,3.670
25%,DiVE,5.029,1.037,6.967,13.367,0.918,4.447,0.931,4.640
25%,QE-RE,-5.579,1.049,-0.521,8.264,0.875,4.265,0.886,4.451
25%,QE-FE,-9.088,1.616,-34.450,12.217,0.695,3.525,0.718,3.679
50%,DiVE,4.757,1.553,5.186,15.615,0.921,5.543,0.934,5.785
50%,QE-RE,-2.810,1.290,-0.184,8.531,0.920,5.258,0.928,5.487
50%,QE-FE,-9.065,2.213,-58.622,34.529,0.629,3.527,0.653,3.681
75%,DiVE,4.750,2.741,2.134,13.829,0.936,7.941,0.951,8.286
75%,QE-RE,0.590,2.165,1.743,8.810,0.947,7.470,0.957,7.795
75%,QE-FE,-9.020,3.526,-80.442,64.752,0.542,3.524,0.559,3.677
