distribution,sample_size_mode,num_studies,average_group_n,heterogeneity_ratio,true_i2,method,point_bias_pct,point_mse_pct,variance_bias_pct,variance_mse_pct,coverage_z,average_width_z,coverage_t,average_width_t,fail_rate
log_normal,fixed,10,100,0,0,DiVE,4.84401469001174,2.01446866189481,8.25992540964056,38.495525888768,0.912,6.36530056095329,0.945,7.34672186371987,0
log_normal,fixed,10,100,0,0,QE-RE,-5.75046819783935,1.99615249252157,12.8284538441899,13.7003968334859,0.916,6.67374616427725,0.957,7.70272454356332,0
log_normal,fixed,10,100,0,0,QE-FE,-7.9235513512796,2.35146360148492,-5.80830482079569,2.50548706295445,0.862,6.13997614687427,0.924,7.08665624961534,0
log_normal,fixed,10,100,0.3333,0.249981249531238,DiVE,4.84363628167237,2.56055090764101,6.41379299391019,33.4738656096089,0.909,7.30206456163982,0.944,8.42791897280952,0
log_normal,fixed,10,100,0.3333,0.249981249531238,QE-RE,-4.17398402848953,2.38632622953667,3.57349519179735,18.0899502415736,0.914,7.32644960416498,0.944,8.45606377498371,0
log_normal,fixed,10,100,0.3333,0.249981249531238,QE-FE,-7.96915472368216,3.03844787669295,-29.4423470487586,9.87268001051143,0.813,6.13629849647528,0.87,7.08241156794875,0
log_normal,fixed,10,100,1,0.5,DiVE,4.20861396747904,3.58183430674711,5.67480745733484,25.4341564926113,0.914,8.9731975935484,0.942,10.3567123526572,0
log_normal,fixed,10,100,1,0.5,QE-RE,-2.22669433965869,3.37115694686495,2.75358257049933,25.034808098743,0.92,8.85710337814306,0.946,10.2227183798035,0
log_normal,fixed,10,100,1,0.5,QE-FE,-8.68932765777667,4.43898309414536,-53.2082996587527,28.8278478821581,0.736,6.12075590177614,0.8,7.06447256896486,0
log_normal,fixed,10,100,3,0.75,DiVE,4.2116281558229,6.68957607640091,1.54384770584518,25.3218458642745,0.923,12.4088008279458,0.954,14.322027290344,0
log_normal,fixed,10,100,3,0.75,QE-RE,0.635778972707095,6.47880876905658,0.455208042970401,25.7544036511025,0.92,12.3343431958457,0.953,14.2360895552076,0
log_normal,fixed,10,100,3,0.75,QE-FE,-8.66045317739943,8.32846728472964,-76.4535075982808,58.5994087430836,0.6,6.13815984524024,0.663,7.08455990509899,0
log_normal,fixed,10,300,0,0,DiVE,2.00449809685248,0.577989551221228,3.64055357338288,27.1252469227262,0.917,3.61407122578695,0.949,4.17129966405755,0
log_normal,fixed,10,300,0,0,QE-RE,-1.85268573734645,0.56559283291076,17.7436010607905,12.4615666493153,0.95,3.94731207751375,0.975,4.55592059873645,0
log_normal,fixed,10,300,0,0,QE-FE,-2.58069355724113,0.616600749293125,0.995743850114822,0.869769660265432,0.928,3.67798045281246,0.959,4.24506260910401,0
log_normal,fixed,10,300,0.3333,0.249981249531238,DiVE,1.89806252104574,0.7371732207728,2.43622959586537,23.7080683509876,0.916,4.16102890840472,0.953,4.80258893735084,0
log_normal,fixed,10,300,0.3333,0.249981249531238,QE-RE,-1.33402085532306,0.699865250087693,6.56837571163541,14.9303803947552,0.944,4.30663575272969,0.966,4.97064588556025,0
